LIB,Sample,PInumber,ISnum,WASAP,PlantName,Population,DuplicateLIBdecision,FilterMissing,Proportion.Missing,Proportion.Heterozygous,InbreedCoefficent,Kmeans_cluster,Germplasm,BotanicalType,CountryOrigin,Region,lat,lon,Elevation,Continent
11:ISLA,Duplicate_remove,PI570400,NA,NA,NA,Duplicate_remove,remove,remove,0.817101757,0.010345455,0.184154,NA,Cultivar,Guinea-Caudatum,South Sudan,NA,3.809999943,30.61000061,NA,Africa
BATGA,R.07008,NA,NA,NA,NA,Mullet,NA,remove,0.776418365,0.009960373,0.307548,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATGC,R.07030,NA,NA,NA,NA,Mullet,NA,remove,0.763887628,0.008675058,0.294933,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATGG,R.07031,NA,NA,NA,NA,Mullet,NA,remove,0.776726451,0.008758449,0.281545,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATGH,R.07036,NA,NA,NA,NA,Mullet,NA,remove,0.77224087,0.008818262,0.288002,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATGN,R.07039,NA,NA,NA,NA,Mullet,NA,remove,0.773775534,0.009644453,0.301094,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATGO,R.07040,NA,NA,NA,NA,Mullet,NA,remove,0.770396789,0.00935482,0.27968,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATGP,R.07049,NA,NA,NA,NA,Mullet,NA,remove,0.781457864,0.010149451,0.252353,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATGS,R.07070,NA,NA,NA,NA,Mullet,NA,remove,0.770599056,0.008088,0.298922,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATGT,R.08002,NA,NA,NA,NA,Mullet,NA,remove,0.786942438,0.010005547,0.270336,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATGU,R.08005,NA,NA,NA,NA,Mullet,NA,remove,0.781357174,0.009435288,0.27882,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATGW,R.08009,NA,NA,NA,NA,Mullet,NA,remove,0.787226703,0.009011992,0.245032,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATGY,R.08011,NA,NA,NA,NA,Mullet,NA,remove,0.787843126,0.01082665,0.251804,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATGZ,R.08016,NA,NA,NA,NA,Mullet,NA,remove,0.781137576,0.00898084,0.286255,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATHA,R.08021,NA,NA,NA,NA,Mullet,NA,remove,0.787500182,0.0090707,0.271766,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATHB,R.09007,NA,NA,NA,NA,Mullet,NA,remove,0.79813221,0.00812721,0.276461,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATHC,R.09009,NA,NA,NA,NA,Mullet,NA,remove,0.806142398,0.015668821,0.302666,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATHG,R.09012,NA,NA,NA,NA,Mullet,NA,remove,0.787118249,0.007624794,0.283442,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATHH,R.09013,NA,NA,NA,NA,Mullet,NA,remove,0.779909363,0.008075714,0.277927,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATHN,R.09018,NA,NA,NA,NA,Mullet,NA,remove,0.784968772,0.006283601,0.26548,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATHO,R.09031,NA,NA,NA,NA,Mullet,NA,remove,0.79477454,0.007912898,0.259329,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATHP,R.09044,NA,NA,NA,NA,Mullet,NA,remove,0.782318121,0.01231048,0.266992,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATHS,R.09046,NA,NA,NA,NA,Mullet,NA,remove,0.787093985,0.008407365,0.234582,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATHT,R.09056,NA,NA,NA,NA,Mullet,NA,remove,0.78517212,0.007934449,0.302566,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATHU,R.09062,NA,NA,NA,NA,Mullet,NA,remove,0.801216511,0.011897501,0.281695,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATHW,R.09063,NA,NA,NA,NA,Mullet,NA,remove,0.788086572,0.008328449,0.246371,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATHX,R.09068,NA,NA,NA,NA,Mullet,NA,remove,0.795846853,0.00726226,0.250292,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATHZ,R.09074,NA,NA,NA,NA,Mullet,NA,remove,0.787572808,0.013058055,0.249914,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATNA,R.09082,NA,NA,NA,NA,Mullet,NA,remove,0.774444561,0.00786862,0.279323,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATNB,R.09086,NA,NA,NA,NA,Mullet,NA,remove,0.777171111,0.0148598,0.260119,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATNC,R.09091,NA,NA,NA,NA,Mullet,NA,remove,0.777908687,0.009319374,0.262288,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATNG,R.09094,NA,NA,NA,NA,Mullet,NA,remove,0.776195273,0.007842323,0.273188,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATNH,R.09106,NA,NA,NA,NA,Mullet,NA,remove,0.768819116,0.009350235,0.333518,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATNN,R.09107,NA,NA,NA,NA,Mullet,NA,remove,0.773532808,0.009500402,0.269319,NA,NA,NA,NA,NA,NA,NA,NA,NA
BATNO,R.09108,NA,NA,NA,NA,Mullet,NA,remove,0.768044158,0.009286239,0.278842,NA,NA,NA,NA,NA,NA,NA,NA,NA
