"PInumber","ISnum","LIB","Sample","WASAP","PlantName","Population","DuplicateLIBdecision","FilterMissing","Proportion Missing","Proportion Heterozygous","InbreedCoefficent","Kmeans_cluster","Germplasm","BotanicalType","CountryOrigin","Region","lat","lon","Elevation","Continent"
NA,NA,"BATGA","R.07008",NA,NA,"Mullet",NA,"remove",0.776418365104444,0.00996037283027293,0.307548,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATGC","R.07030",NA,NA,"Mullet",NA,"remove",0.763887627534485,0.00867505820935402,0.294933,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATGG","R.07031",NA,NA,"Mullet",NA,"remove",0.77672645139911,0.00875844869428706,0.281545,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATGH","R.07036",NA,NA,"Mullet",NA,"remove",0.772240870239793,0.0088182624856087,0.288002,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATGN","R.07039",NA,NA,"Mullet",NA,"remove",0.773775533760892,0.00964445251836429,0.301094,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATGO","R.07040",NA,NA,"Mullet",NA,"remove",0.770396789358128,0.00935481985304952,0.27968,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATGP","R.07049",NA,NA,"Mullet",NA,"remove",0.781457863791749,0.0101494508445018,0.252353,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATGS","R.07070",NA,NA,"Mullet",NA,"remove",0.77059905591378,0.00808800046225435,0.298922,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATGT","R.08002",NA,NA,"Mullet",NA,"remove",0.786942437639216,0.0100055472126103,0.270336,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATGU","R.08005",NA,NA,"Mullet",NA,"remove",0.781357174202556,0.00943528799994927,0.27882,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATGW","R.08009",NA,NA,"Mullet",NA,"remove",0.787226703400388,0.00901199248731279,0.245032,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATGY","R.08011",NA,NA,"Mullet",NA,"remove",0.787843125564576,0.0108266504658815,0.251804,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATGZ","R.08016",NA,NA,"Mullet",NA,"remove",0.781137576059671,0.0089808398360513,0.286255,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATHA","R.08021",NA,NA,"Mullet",NA,"remove",0.787500181981666,0.00907069988679405,0.271766,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATHB","R.09007",NA,NA,"Mullet",NA,"remove",0.798132209506999,0.00812720993678241,0.276461,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATHC","R.09009",NA,NA,"Mullet",NA,"remove",0.806142397707239,0.0156688212243529,0.302666,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATHG","R.09012",NA,NA,"Mullet",NA,"remove",0.787118249260115,0.00762479356627594,0.283442,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATHH","R.09013",NA,NA,"Mullet",NA,"remove",0.779909362731403,0.00807571351533875,0.277927,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATHN","R.09018",NA,NA,"Mullet",NA,"remove",0.784968771946122,0.00628360147020154,0.26548,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATHO","R.09031",NA,NA,"Mullet",NA,"remove",0.794774540314312,0.00791289799264989,0.259329,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"BATHP","R.09044",NA,NA,"Mullet",NA,"remove",0.782318120590411,0.0123104799973809,0.266992,NA,NA,NA,NA,NA,NA,NA,NA,NA
